sigma,month,b,cr
15,1,64,3.1134846461949266
15,1,128,3.05607476635514
20,1,1,3.068090787716956
20,1,2,2.787716955941255
20,1,4,2.8411214953271027
20,1,8,3.062750333778371
20,1,16,3.0787716955941256
20,1,32,3.0921228304405877
20,1,64,3.0947930574098796
20,1,128,3.0934579439252334
0,1,1,3.0654205607476634
0,1,2,2.4072096128170895
0,1,4,2.052069425901202
0,1,8,1.8477970627503337
0,1,16,1.7797062750333779
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.0106809078771697
2,1,2,2.4432576769025367
2,1,4,2.0640854472630172
2,1,8,1.8664886515353805
2,1,16,1.794392523364486
2,1,32,1.7983978638184246
2,1,64,1.809078771695594
2,1,128,1.8117489986648865
5,1,1,3.0734312416555407
5,1,2,2.5514018691588785
5,1,4,2.281708945260347
5,1,8,2.287049399198932
5,1,16,2.487316421895861
5,1,32,2.7249666221628837
5,1,64,2.930574098798398
5,1,128,3.081441922563418
10,1,1,3.104138851802403
10,1,2,2.711615487316422
10,1,4,2.6675567423230975
10,1,8,2.8317757009345796
10,1,16,3.0320427236315086
10,1,32,3.005340453938585
10,1,64,3.0801068090787718
10,1,128,3.074766355140187
15,1,1,3.041388518024032
15,1,2,2.758344459279039
15,1,4,2.8397863818424565
15,1,8,3.0146862483311083
15,1,16,3.0427236315086783
15,1,32,3.1121495327102804
15,1,64,3.0947930574098796
15,1,128,3.052069425901202
20,1,1,3.0106809078771697
20,1,2,2.8397863818424565
20,1,4,2.9265687583444593
20,1,8,3.0507343124165556
20,1,16,3.1188251001335114
20,1,32,3.0587449933244324
20,1,64,3.05607476635514
20,1,128,3.157543391188251
0,1,1,3.0907877169559415
0,1,2,2.4699599465954605
0,1,4,2.0707610146862483
0,1,8,1.8611481975967956
0,1,16,1.781041388518024
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.086782376502003
2,1,2,2.431241655540721
2,1,4,2.0720961281708945
2,1,8,1.8464619492656875
2,1,16,1.801068090787717
2,1,32,1.7930574098798397
2,1,64,1.8024032042723632
2,1,128,1.7997329773030708
5,1,1,3.046728971962617
5,1,2,2.5113484646194926
5,1,4,2.2750333778371163
5,1,8,2.3044058744993325
5,1,16,2.555407209612817
5,1,32,2.767690253671562
5,1,64,2.942590120160214
5,1,128,3.0360480640854473
10,1,1,3.109479305740988
10,1,2,2.706275033377837
10,1,4,2.6542056074766354
10,1,8,2.861148197596796
10,1,16,2.945260347129506
10,1,32,3.0640854472630172
10,1,64,3.057409879839786
10,1,128,3.149532710280374
15,1,1,3.1081441922563418
15,1,2,2.7596795727636847
15,1,4,2.8304405874499334
15,1,8,3.006675567423231
15,1,16,3.012016021361816
15,1,32,3.0373831775700935
15,1,64,3.0774365821094793
15,1,128,3.110814419225634
20,1,1,3.1201602136181577
20,1,2,2.7556742323097465
20,1,4,2.855807743658211
20,1,8,3.062750333778371
20,1,16,3.081441922563418
20,1,32,3.0493991989319094
20,1,64,3.1348464619492655
20,1,128,3.0453938584779707
0,1,1,3.0427236315086783
0,1,2,2.4619492656875837
0,1,4,2.0734312416555407
0,1,8,1.8611481975967956
0,1,16,1.7837116154873165
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.121495327102804
2,1,2,2.4085447263017357
2,1,4,2.0507343124165556
2,1,8,1.8571428571428572
2,1,16,1.801068090787717
2,1,32,1.7970627503337784
2,1,64,1.7997329773030708
2,1,128,1.8104138851802403
5,1,1,3.0106809078771697
5,1,2,2.5714285714285716
5,1,4,2.2990654205607477
5,1,8,2.3324432576769025
5,1,16,2.4712950600801067
5,1,32,2.7356475300400533
5,1,64,2.951935914552737
5,1,128,3.0026702269692924
10,1,1,3.114819759679573
10,1,2,2.712950600801068
10,1,4,2.68758344459279
10,1,8,2.8638184245660883
10,1,16,3.0320427236315086
10,1,32,3.069425901201602
10,1,64,3.074766355140187
10,1,128,3.15086782376502
15,1,1,3.0707610146862483
15,1,2,2.7156208277703606
15,1,4,2.8304405874499334
15,1,8,3.0267022696929238
15,1,16,3.114819759679573
15,1,32,3.142857142857143
15,1,64,3.132176234979973
15,1,128,3.1188251001335114
20,1,1,3.0854472630173566
20,1,2,2.758344459279039
20,1,4,2.883845126835781
20,1,8,3.0200267022696927
20,1,16,3.0720961281708945
20,1,32,3.0587449933244324
20,1,64,3.068090787716956
20,1,128,3.12283044058745
0,1,1,3.057409879839786
0,1,2,2.4485981308411215
0,1,4,2.082777036048064
0,1,8,1.8518024032042724
0,1,16,1.781041388518024
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.0734312416555407
2,1,2,2.4432576769025367
2,1,4,2.0654205607476634
2,1,8,1.8651535380507342
2,1,16,1.7917222963951935
2,1,32,1.787716955941255
2,1,64,1.7970627503337784
2,1,128,1.8024032042723632
5,1,1,3.0440587449933245
5,1,2,2.5233644859813085
5,1,4,2.2643524699599467
5,1,8,2.315086782376502
5,1,16,2.5046728971962615
5,1,32,2.704939919893191
5,1,64,2.959946595460614
5,1,128,3.0440587449933245
10,1,1,3.137516688918558
10,1,2,2.6889185580774364
10,1,4,2.7142857142857144
10,1,8,2.8825100133511348
10,1,16,2.9826435246995993
10,1,32,3.0667556742323097
10,1,64,3.1121495327102804
10,1,128,3.081441922563418
15,1,1,3.0907877169559415
15,1,2,2.769025367156208
15,1,4,2.837116154873164
15,1,8,3.0253671562082776
15,1,16,3.110814419225634
15,1,32,3.052069425901202
15,1,64,3.0894526034712952
15,1,128,3.0707610146862483
20,1,1,3.0654205607476634
20,1,2,2.829105473965287
20,1,4,2.8664886515353807
20,1,8,3.057409879839786
20,1,16,3.0921228304405877
20,1,32,3.1335113484646193
20,1,64,3.1415220293724966
20,1,128,3.0654205607476634
0,1,1,3.0947930574098796
0,1,2,2.445927903871829
0,1,4,2.0720961281708945
0,1,8,1.8598130841121496
0,1,16,1.7797062750333779
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.132176234979973
2,1,2,2.4299065420560746
2,1,4,2.0587449933244324
2,1,8,1.870493991989319
2,1,16,1.8050734312416556
2,1,32,1.7917222963951935
2,1,64,1.7917222963951935
2,1,128,1.8077436582109478
5,1,1,3.0654205607476634
5,1,2,2.554072096128171
5,1,4,2.2910547396528704
5,1,8,2.281708945260347
5,1,16,2.473965287049399
5,1,32,2.7783711615487316
5,1,64,2.917222963951936
5,1,128,3.034712950600801
10,1,1,3.110814419225634
10,1,2,2.7036048064085447
10,1,4,2.72630173564753
10,1,8,2.885180240320427
10,1,16,2.9799732977303073
10,1,32,3.0667556742323097
10,1,64,3.0774365821094793
10,1,128,3.046728971962617
15,1,1,3.102803738317757
15,1,2,2.8344459279038716
15,1,4,2.855807743658211
15,1,8,3.0026702269692924
15,1,16,3.1481975967957276
15,1,32,3.1481975967957276
15,1,64,3.0934579439252334
15,1,128,3.0787716955941256
20,1,1,3.0894526034712952
20,1,2,2.82109479305741
20,1,4,2.861148197596796
20,1,8,3.0907877169559415
20,1,16,3.086782376502003
20,1,32,3.0907877169559415
20,1,64,3.086782376502003
20,1,128,3.0801068090787718
0,1,1,3.0841121495327104
0,1,2,2.4485981308411215
0,1,4,2.0654205607476634
0,1,8,1.8451268357810413
0,1,16,1.7890520694259011
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.081441922563418
2,1,2,2.4259012016021364
2,1,4,2.0427236315086783
2,1,8,1.8624833110814418
2,1,16,1.7957276368491322
2,1,32,1.7890520694259011
2,1,64,1.8104138851802403
2,1,128,1.8117489986648865
5,1,1,3.0734312416555407
5,1,2,2.5287049399198933
5,1,4,2.31241655540721
5,1,8,2.3057409879839788
5,1,16,2.527369826435247
5,1,32,2.7890520694259013
5,1,64,2.938584779706275
5,1,128,3.061415220293725
10,1,1,3.1174899866488652
10,1,2,2.6755674232309747
10,1,4,2.691588785046729
10,1,8,2.889185580774366
10,1,16,2.9813084112149535
10,1,32,3.097463284379172
10,1,64,3.0787716955941256
10,1,128,3.0854472630173566
15,1,1,3.076101468624833
15,1,2,2.786381842456609
15,1,4,2.8825100133511348
15,1,8,2.9959946595460614
15,1,16,3.096128170894526
15,1,32,3.076101468624833
15,1,64,3.1001335113484645
15,1,128,3.132176234979973
20,1,1,3.1081441922563418
20,1,2,2.8384512683578103
20,1,4,2.862483311081442
20,1,8,3.021361815754339
20,1,16,3.0453938584779707
20,1,32,3.0774365821094793
20,1,64,3.046728971962617
20,1,128,3.0894526034712952
0,1,1,3.1188251001335114
0,1,2,2.4138851802403205
0,1,4,2.0707610146862483
0,1,8,1.8611481975967956
0,1,16,1.787716955941255
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.088117489986649
2,1,2,2.4632843791722294
2,1,4,2.0453938584779707
2,1,8,1.8598130841121496
2,1,16,1.787716955941255
2,1,32,1.8024032042723632
2,1,64,1.8170894526034713
2,1,128,1.8050734312416556
5,1,1,3.0774365821094793
5,1,2,2.500667556742323
5,1,4,2.317757009345794
5,1,8,2.3311081441922563
5,1,16,2.554072096128171
5,1,32,2.7890520694259013
5,1,64,2.9092122830440585
5,1,128,3.0026702269692924
10,1,1,3.0720961281708945
10,1,2,2.6889185580774364
10,1,4,2.5874499332443257
10,1,8,2.8584779706275034
10,1,16,3.0600801068090786
10,1,32,3.0427236315086783
10,1,64,3.1068090787716955
10,1,128,3.1014686248331107
15,1,1,3.0587449933244324
15,1,2,2.744993324432577
15,1,4,2.8317757009345796
15,1,8,3.0307076101468624
15,1,16,3.1001335113484645
15,1,32,3.074766355140187
15,1,64,3.0667556742323097
15,1,128,3.0894526034712952
20,1,1,3.0907877169559415
20,1,2,2.814419225634179
20,1,4,2.8651535380507345
20,1,8,3.0493991989319094
20,1,16,3.0921228304405877
20,1,32,3.0921228304405877
20,1,64,3.1001335113484645
20,1,128,3.048064085447263
0,1,1,3.074766355140187
0,1,2,2.451268357810414
0,1,4,2.0667556742323097
0,1,8,1.863818424566088
0,1,16,1.787716955941255
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.1241655540720963
2,1,2,2.439252336448598
2,1,4,2.0854472630173566
2,1,8,1.8811748998664886
2,1,16,1.7917222963951935
2,1,32,1.7917222963951935
2,1,64,1.7997329773030708
2,1,128,1.8104138851802403
5,1,1,3.1335113484646193
5,1,2,2.5233644859813085
5,1,4,2.317757009345794
5,1,8,2.2643524699599467
5,1,16,2.5220293724966623
5,1,32,2.7957276368491324
5,1,64,2.8945260347129507
5,1,128,3.076101468624833
10,1,1,3.0173564753004007
10,1,2,2.710280373831776
10,1,4,2.699599465954606
10,1,8,2.8451268357810413
10,1,16,3.021361815754339
10,1,32,3.097463284379172
10,1,64,3.0854472630173566
10,1,128,3.0707610146862483
15,1,1,3.0387182910547397
15,1,2,2.7903871829105475
15,1,4,2.8197596795727637
15,1,8,2.9759679572763686
15,1,16,3.046728971962617
15,1,32,3.1014686248331107
15,1,64,3.0734312416555407
15,1,128,3.0640854472630172
20,1,1,3.088117489986649
20,1,2,2.857142857142857
20,1,4,2.9078771695594123
20,1,8,3.0654205607476634
20,1,16,3.0667556742323097
20,1,32,3.096128170894526
20,1,64,3.1081441922563418
20,1,128,3.1014686248331107
0,1,1,3.1054739652870493
0,1,2,2.4419225634178905
0,1,4,2.053404539385848
0,1,8,1.8611481975967956
0,1,16,1.7823765020026703
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.048064085447263
2,1,2,2.4405874499332443
2,1,4,2.05607476635514
2,1,8,1.8624833110814418
2,1,16,1.8037383177570094
2,1,32,1.786381842456609
2,1,64,1.7970627503337784
2,1,128,1.8064085447263016
5,1,1,3.102803738317757
5,1,2,2.5647530040053406
5,1,4,2.2990654205607477
5,1,8,2.2790387182910545
5,1,16,2.5220293724966623
5,1,32,2.7289719626168223
5,1,64,2.9225634178905207
5,1,128,2.9732977303070762
10,1,1,3.1415220293724966
10,1,2,2.744993324432577
10,1,4,2.6902536715620826
10,1,8,2.9572763684913217
10,1,16,3.0253671562082776
10,1,32,3.081441922563418
10,1,64,3.1001335113484645
10,1,128,3.0253671562082776
15,1,1,3.05607476635514
15,1,2,2.740987983978638
15,1,4,2.8317757009345796
15,1,8,2.9853137516688917
15,1,16,3.0841121495327104
15,1,32,3.096128170894526
15,1,64,3.1054739652870493
15,1,128,3.1468624833110814
20,1,1,3.102803738317757
20,1,2,2.8064085447263016
20,1,4,2.9265687583444593
20,1,8,3.0373831775700935
20,1,16,3.021361815754339
20,1,32,3.1188251001335114
20,1,64,3.0427236315086783
20,1,128,3.0894526034712952
0,1,1,3.144192256341789
0,1,2,2.4766355140186915
0,1,4,2.074766355140187
0,1,8,1.8678237650200267
0,1,16,1.7850467289719627
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.069425901201602
2,1,2,2.4125500667556743
2,1,4,2.0587449933244324
2,1,8,1.8664886515353805
2,1,16,1.7997329773030708
2,1,32,1.7917222963951935
2,1,64,1.8050734312416556
2,1,128,1.8050734312416556
5,1,1,3.1361815754339117
5,1,2,2.526034712950601
5,1,4,2.2857142857142856
5,1,8,2.2963951935914553
5,1,16,2.54739652870494
5,1,32,2.7957276368491324
5,1,64,2.9065420560747666
5,1,128,2.9759679572763686
10,1,1,3.040053404539386
10,1,2,2.716955941255007
10,1,4,2.663551401869159
10,1,8,2.9158878504672896
10,1,16,3.013351134846462
10,1,32,3.0774365821094793
10,1,64,3.110814419225634
10,1,128,3.0453938584779707
15,1,1,3.074766355140187
15,1,2,2.7436582109479306
15,1,4,2.7957276368491324
15,1,8,2.993324432576769
15,1,16,3.0801068090787718
15,1,32,3.046728971962617
15,1,64,3.0841121495327104
15,1,128,3.0787716955941256
20,1,1,3.0774365821094793
20,1,2,2.797062750333778
20,1,4,2.883845126835781
20,1,8,3.0186915887850465
20,1,16,3.068090787716956
20,1,32,3.040053404539386
20,1,64,3.088117489986649
20,1,128,3.0947930574098796
0,1,1,3.096128170894526
0,1,2,2.465954606141522
0,1,4,2.0801068090787718
0,1,8,1.863818424566088
0,1,16,1.7850467289719627
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.081441922563418
2,1,2,2.456608811748999
2,1,4,2.0587449933244324
2,1,8,1.8571428571428572
2,1,16,1.8024032042723632
2,1,32,1.7970627503337784
2,1,64,1.8050734312416556
2,1,128,1.8050734312416556
5,1,1,3.0774365821094793
5,1,2,2.532710280373832
5,1,4,2.307076101468625
5,1,8,2.3311081441922563
5,1,16,2.560747663551402
5,1,32,2.7850467289719627
5,1,64,2.9265687583444593
5,1,128,3.021361815754339
10,1,1,3.0801068090787718
10,1,2,2.692923898531375
10,1,4,2.6955941255006675
10,1,8,2.8918558077436582
10,1,16,3.0453938584779707
10,1,32,3.0801068090787718
10,1,64,3.0507343124165556
10,1,128,3.0307076101468624
15,1,1,3.069425901201602
15,1,2,2.7770360480640854
15,1,4,2.871829105473965
15,1,8,3.005340453938585
15,1,16,3.0907877169559415
15,1,32,3.088117489986649
15,1,64,3.116154873164219
15,1,128,3.05607476635514
20,1,1,3.0787716955941256
20,1,2,2.8237650200267024
20,1,4,2.843791722296395
20,1,8,3.021361815754339
20,1,16,3.061415220293725
20,1,32,3.1068090787716955
20,1,64,3.021361815754339
20,1,128,3.0934579439252334
0,1,1,3.1268357810413887
0,1,2,2.4365821094793056
0,1,4,2.0894526034712952
0,1,8,1.8598130841121496
0,1,16,1.7823765020026703
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.0720961281708945
2,1,2,2.416555407209613
2,1,4,2.0654205607476634
2,1,8,1.8451268357810413
2,1,16,1.794392523364486
2,1,32,1.801068090787717
2,1,64,1.8024032042723632
2,1,128,1.8104138851802403
5,1,1,3.0734312416555407
5,1,2,2.515353805073431
5,1,4,2.2843791722296394
5,1,8,2.3604806408544725
5,1,16,2.507343124165554
5,1,32,2.718291054739653
5,1,64,2.9158878504672896
5,1,128,3.001335113484646
10,1,1,3.0947930574098796
10,1,2,2.676902536715621
10,1,4,2.6728971962616823
10,1,8,2.9492656875834444
10,1,16,3.0186915887850465
10,1,32,3.0921228304405877
10,1,64,3.0907877169559415
10,1,128,3.1134846461949266
15,1,1,3.0907877169559415
15,1,2,2.718291054739653
15,1,4,2.758344459279039
15,1,8,2.945260347129506
15,1,16,3.0640854472630172
15,1,32,3.1241655540720963
15,1,64,3.068090787716956
15,1,128,3.0640854472630172
20,1,1,3.0707610146862483
20,1,2,2.774365821094793
20,1,4,2.8931909212283045
20,1,8,3.052069425901202
20,1,16,3.097463284379172
20,1,32,3.104138851802403
20,1,64,3.0600801068090786
20,1,128,3.0707610146862483
0,1,1,3.1255006675567425
0,1,2,2.4405874499332443
0,1,4,2.0600801068090786
0,1,8,1.8477970627503337
0,1,16,1.7797062750333779
0,1,32,1.7770360480640854
0,1,64,1.7770360480640854
0,1,128,1.7770360480640854
2,1,1,3.0934579439252334
2,1,2,2.4285714285714284
2,1,4,2.0427236315086783
2,1,8,1.8878504672897196
2,1,16,1.7970627503337784
2,1,32,1.7957276368491322
2,1,64,1.8050734312416556
2,1,128,1.8077436582109478
5,1,1,3.129506008010681
5,1,2,2.5313751668891857
5,1,4,2.2750333778371163
5,1,8,2.30173564753004
5,1,16,2.5500667556742322
5,1,32,2.712950600801068
5,1,64,2.9506008010680906
5,1,128,3.0106809078771697
10,1,1,3.1188251001335114
10,1,2,2.64218958611482
10,1,4,2.758344459279039
10,1,8,2.890520694259012
10,1,16,3.05607476635514
10,1,32,3.0734312416555407
10,1,64,3.1348464619492655
10,1,128,3.0600801068090786
15,1,1,3.076101468624833
15,1,2,2.762349799732977
15,1,4,2.8104138851802403
15,1,8,3.046728971962617
15,1,16,3.1241655540720963
15,1,32,3.046728971962617
15,1,64,3.076101468624833
15,1,128,3.1174899866488652
20,1,1,3.1268357810413887
20,1,2,2.787716955941255
